uid treatment rep update num_kabooms avg_hd
_5k-0002_51 5k-0002 51 100000 4921 1.02946555578
_5k-0002_52 5k-0002 52 100000 2641 1.0
_5k-0002_53 5k-0002 53 100000 5022 2.09597769813
_5k-0002_54 5k-0002 54 100000 2225 1.0791011236
_5k-0002_55 5k-0002 55 100000 2552 0.99960815047
_5k-0002_56 5k-0002 56 100000 4835 2.08273009307
_5k-0002_57 5k-0002 57 100000 2402 1.00666111574
_5k-0002_58 5k-0002 58 100000 2430 1.0975308642
_5k-0002_59 5k-0002 59 100000 4812 1.54634247714
_5k-0002_60 5k-0002 60 100000 2516 1.0
_5k-0002_61 5k-0002 61 100000 2423 1.00165084606
_5k-0002_62 5k-0002 62 100000 5012 1.53731045491
_5k-0002_63 5k-0002 63 100000 4708 2.10556499575
_5k-0002_64 5k-0002 64 100000 2208 1.04393115942
_5k-0002_65 5k-0002 65 100000 4838 2.0744109136
_5k-0002_66 5k-0002 66 100000 4840 1.00330578512
_5k-0002_67 5k-0002 67 100000 2311 1.04456945045
_5k-0002_68 5k-0002 68 100000 4641 1.0002154708
_5k-0002_69 5k-0002 69 100000 4968 2.01268115942
_5k-0002_70 5k-0002 70 100000 2559 1.03712387651
_5k-0002_71 5k-0002 71 100000 2531 1.03792967207
_5k-0002_72 5k-0002 72 100000 2488 1.00643086817
_5k-0002_73 5k-0002 73 100000 4811 2.05113282062
_5k-0002_74 5k-0002 74 100000 2499 1.00080032013
_5k-0002_75 5k-0002 75 100000 4691 2.05435941164
_5k-0002_76 5k-0002 76 100000 4746 2.12326169406
_5k-0002_77 5k-0002 77 100000 5103 1.96668626298
_5k-0002_78 5k-0002 78 100000 2501 1.00079968013
_5k-0002_79 5k-0002 79 100000 4554 1.02151954326
_5k-0002_80 5k-0002 80 100000 2653 1.07387862797
_5k-002_51 5k-002 51 100000 4023 1.87646035297
_5k-002_52 5k-002 52 100000 3694 1.05684894423
_5k-002_53 5k-002 53 100000 4159 2.17504207742
_5k-002_54 5k-002 54 100000 4822 1.13376192451
_5k-002_55 5k-002 55 100000 5928 2.15418353576
_5k-002_56 5k-002 56 100000 4205 3.13151010702
_5k-002_57 5k-002 57 100000 4215 2.5606168446
_5k-002_58 5k-002 58 100000 5999 1.79779963327
_5k-002_59 5k-002 59 100000 4112 2.27577821012
_5k-002_60 5k-002 60 100000 4621 1.05626487773
_5k-002_61 5k-002 61 100000 4126 1.45904023267
_5k-002_62 5k-002 62 100000 5771 2.12424189915
_5k-002_63 5k-002 63 100000 3688 1.29690889371
_5k-002_64 5k-002 64 100000 4200 1.6969047619
_5k-002_65 5k-002 65 100000 5966 2.48843446195
_5k-002_66 5k-002 66 100000 4092 1.54301075269
_5k-002_67 5k-002 67 100000 5792 1.83200966851
_5k-002_68 5k-002 68 100000 6094 2.02313751231
_5k-002_69 5k-002 69 100000 5951 1.74256427491
_5k-002_70 5k-002 70 100000 3758 1.08408728047
_5k-002_71 5k-002 71 100000 5307 2.08121349161
_5k-002_72 5k-002 72 100000 5026 1.73020294469
_5k-002_73 5k-002 73 100000 6149 2.42039355993
_5k-002_74 5k-002 74 100000 4273 1.56892113269
_5k-002_75 5k-002 75 100000 4162 1.85487746276
_5k-002_76 5k-002 76 100000 5566 1.47808120733
_5k-002_77 5k-002 77 100000 4320 2.10231481481
_5k-002_78 5k-002 78 100000 4958 1.11879790238
_5k-002_79 5k-002 79 100000 4085 2.4088127295
_5k-002_80 5k-002 80 100000 5882 1.82658959538
_5k-02_51 5k-02 51 100000 909 11.8514851485
_5k-02_52 5k-02 52 100000 391 41.358056266
_5k-02_53 5k-02 53 100000 304 36.8848684211
_5k-02_54 5k-02 54 100000 756 43.9100529101
_5k-02_55 5k-02 55 100000 490 33.9857142857
_5k-02_56 5k-02 56 100000 280 30.2357142857
_5k-02_57 5k-02 57 100000 292 34.9828767123
_5k-02_58 5k-02 58 100000 645 41.9054263566
_5k-02_59 5k-02 59 100000 588 36.4302721088
_5k-02_60 5k-02 60 100000 441 34.1088435374
_5k-02_61 5k-02 61 100000 888 44.402027027
_5k-02_62 5k-02 62 100000 220 35.4863636364
_5k-02_63 5k-02 63 100000 392 39.8954081633
_5k-02_64 5k-02 64 100000 289 28.9307958478
_5k-02_65 5k-02 65 100000 414 39.7874396135
_5k-02_66 5k-02 66 100000 504 38.1011904762
_5k-02_67 5k-02 67 100000 217 21.0460829493
_5k-02_68 5k-02 68 100000 198 35.4292929293
_5k-02_69 5k-02 69 100000 1044 43.7825670498
_5k-02_70 5k-02 70 100000 434 21.4723502304
_5k-02_71 5k-02 71 100000 377 36.5862068966
_5k-02_72 5k-02 72 100000 510 25.7196078431
_5k-02_73 5k-02 73 100000 194 36.6701030928
_5k-02_74 5k-02 74 100000 467 29.2933618844
_5k-02_75 5k-02 75 100000 185 33.4648648649
_5k-02_76 5k-02 76 100000 578 16.2387543253
_5k-02_78 5k-02 78 100000 655 25.9114503817
_5k-02_79 5k-02 79 100000 599 37.5141903172
_5k-02_80 5k-02 80 100000 309 32.715210356
_10k-0002_51 10k-0002 51 100000 9956 2.21163117718
_10k-0002_52 10k-0002 52 100000 10086 1.28048780488
_10k-0002_53 10k-0002 53 100000 9301 1.24631760026
_10k-0002_54 10k-0002 54 100000 9542 1.25854118633
_10k-0002_55 10k-0002 55 100000 9497 2.28819627251
_10k-0002_56 10k-0002 56 100000 13058 2.49310767346
_10k-0002_57 10k-0002 57 100000 14182 1.83281624595
_10k-0002_58 10k-0002 58 100000 5105 1.49382957884
_10k-0002_59 10k-0002 59 100000 9203 2.16831468
_10k-0002_60 10k-0002 60 100000 9908 2.26513928139
_10k-0002_61 10k-0002 61 100000 10052 1.69488658973
_10k-0002_62 10k-0002 62 100000 5128 1.45963338534
_10k-0002_63 10k-0002 63 100000 9123 1.27326537323
_10k-0002_64 10k-0002 64 100000 5146 1.37912942091
_10k-0002_65 10k-0002 65 100000 9520 2.2487394958
_10k-0002_66 10k-0002 66 100000 5279 1.31388520553
_10k-0002_67 10k-0002 67 100000 9543 1.74944985854
