uid expr treatment rep update lineage_label
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 0 2.48493
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 100 2.57187
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 200 2.55714
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 300 2.56374
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 400 2.58423
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 500 2.64686
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 600 2.65079
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 700 2.64656
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 800 2.64574
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 900 2.6683
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 1000 2.66211
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 1100 2.66299
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 1200 2.71556
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 1300 2.75446
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 1400 2.75278
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 1500 2.81585
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 1600 2.78658
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 1700 2.78808
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 1800 2.76926
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 1900 2.82782
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 2000 2.85176
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 2100 2.90956
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 2200 2.97023
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 2300 2.96626
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 2400 2.99313
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 2500 3.00637
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 2600 2.99174
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 2700 3.01053
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 2800 3.0241
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 2900 3.05322
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 3000 3.06208
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 3100 3.10897
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 3200 3.14679
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 3300 3.18153
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 3400 3.19621
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 3500 3.20274
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 3600 3.21677
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 3700 3.22891
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 3800 3.22659
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 3900 3.20085
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 4000 3.25045
